nearest_station,day_type,ridership,ridership_share_within_day_type,crime_share_within_day_type,station_day_share,hour,hour_share,system_expected_crimes_this_hour,estimated_station_agents,baseline_expected_count,baseline_prob,baseline_rate_per_agent,lookup_key
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,11,0.05599516588495957,0.5840336134453782,16.419758937442555,0.02450717793068969,0.024209315264633102,0.001492541883474617,Carson | Weekday | 11
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,12,0.05760653756510229,0.6008403361344538,16.892269986002056,0.025212420461069248,0.024897241750236332,0.0014925418834746168,Carson | Weekday | 12
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,13,0.05743389059937272,0.5990396158463386,16.841643802227825,0.025136858761385727,0.02482355854467777,0.001492541883474617,Carson | Weekday | 13
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,14,0.05898771329093891,0.6152460984393757,17.29727945619591,0.025816914058537442,0.02548650700299182,0.001492541883474617,Carson | Weekday | 14
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,15,0.062066584179783044,0.6473589435774311,18.20011306683638,0.02716443103622696,0.026798796115292123,0.0014925418834746173,Carson | Weekday | 15
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,16,0.05285874600753892,0.5513205282112845,15.500049932210677,0.023134473719772335,0.022868923512498585,0.001492541883474617,Carson | Weekday | 16
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,17,0.05006762006157742,0.5222088835534213,14.68159329452726,0.02191289290822202,0.021674549575476654,0.0014925418834746168,Carson | Weekday | 17
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,18,0.04399620176675395,0.45888355342136855,12.901239165133438,0.019255639802684757,0.019071434197614034,0.001492541883474617,Carson | Weekday | 18
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,19,0.03959370414064973,0.4129651860744298,11.610271478890525,0.01732881646075489,0.01717953604883271,0.0014925418834746168,Carson | Weekday | 19
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,20,0.04022674301499151,0.41956782713085233,11.79590081939604,0.017605876026261146,0.017451798141395525,0.001492541883474617,Carson | Weekday | 20
Carson,Weekday,293.2352941176471,0.041202092752233674,0.043734885436734025,0.041961930557583786,21,0.0420970851437286,0.43907563025210083,12.344351143616887,0.01842446110616599,0.018255768335827538,0.0014925418834746168,Carson | Weekday | 21
