centroid_id,nearest_station,centroid_crime_count,n_centroids_in_station,uniform_share_in_station,crime_share_in_station,location_share_raw,location_share_in_station,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,env_within_10m,env_within_25m,env_within_50m,min_station_dist_m,mean_station_dist_m,num_stations_in_radius_from_list,lat,lon
53,Bland,37,28,0.03571428571428571,0.008309005165057264,0.024752173494594333,0.024752173494594337,14.688438297598568,0.0,6.0,12.0,0.0,0.0,1.0,347.96,347.96,1.0,35.212774,-80.854414
54,Bland,807,28,0.03571428571428571,0.18122613968111387,0.09391902730101698,0.09391902730101699,11.23824318850556,0.0,3.0,7.0,0.0,0.0,1.0,158.91,158.91,1.0,35.217008,-80.854286
55,Bland,111,28,0.03571428571428571,0.024927015495171793,0.03139937762664014,0.03139937762664015,7.190165789967851,1.0,5.0,18.0,0.0,1.0,2.0,301.04,301.04,1.0,35.218303,-80.853916
56,Bland,145,28,0.03571428571428571,0.03256231753873793,0.0344534984440666,0.03445349844406661,13.43467354589222,0.0,3.0,13.0,0.0,0.0,4.0,311.45,311.45,1.0,35.218378,-80.853841
57,Bland,187,28,0.03571428571428571,0.04199416123961374,0.03822623592441692,0.03822623592441693,12.497419994887736,0.0,8.0,18.0,0.0,0.0,1.0,288.32,288.32,1.0,35.217864,-80.853307
58,Bland,75,28,0.03571428571428571,0.01684257803727824,0.028165602643482723,0.028165602643482727,16.632124299766673,0.0,8.0,21.0,0.0,1.0,2.0,210.29,210.29,1.0,35.215687,-80.852976
59,Bland,143,28,0.03571428571428571,0.03211318212441051,0.03427384427833563,0.03427384427833564,34.31038243971447,0.0,0.0,2.0,0.0,0.0,0.0,264.16,264.16,1.0,35.217197,-80.852903
60,Carson,1,13,0.07692307692307693,0.0007122507122507123,0.04643874643874644,0.04643874643874644,3.4307555922984903,6.0,20.0,40.0,0.0,0.0,0.0,297.86,297.86,0.0,35.21935,-80.852839
61,Carson,142,13,0.07692307692307693,0.10113960113960115,0.08660968660968663,0.08660968660968663,12.832717650501698,0.0,16.0,34.0,0.0,0.0,0.0,297.86,297.86,0.0,35.219598,-80.85258
62,Bland,39,28,0.03571428571428571,0.008758140579384684,0.024931827660325298,0.0249318276603253,5.347948124656034,1.0,7.0,13.0,0.0,0.0,1.0,294.28,294.28,1.0,35.216373,-80.852115
63,Bland,96,28,0.03571428571428571,0.021558499887716145,0.030051971383657883,0.030051971383657887,2.685392057530676,2.0,10.0,31.0,0.0,0.0,0.0,430.96,430.96,1.0,35.218844,-80.852291
64,Carson,268,13,0.07692307692307693,0.1908831908831909,0.12250712250712252,0.12250712250712252,14.187124885967188,0.0,4.0,8.0,0.0,1.0,1.0,341.54,341.54,1.0,35.221779,-80.85213
65,Carson,29,13,0.07692307692307693,0.020655270655270654,0.05441595441595442,0.05441595441595442,14.344139777892995,0.0,10.0,27.0,0.0,0.0,3.0,297.86,297.86,0.0,35.220936,-80.85121
66,Carson,88,13,0.07692307692307693,0.06267806267806268,0.07122507122507123,0.07122507122507123,31.49468651631985,0.0,0.0,13.0,0.0,0.0,0.0,297.86,297.86,0.0,35.22042,-80.850626
67,Carson,232,13,0.07692307692307693,0.16524216524216523,0.11225071225071225,0.11225071225071225,25.41592933686634,0.0,0.0,7.0,0.0,1.0,1.0,130.69,130.69,1.0,35.217768,-80.850391
68,Carson,42,13,0.07692307692307693,0.029914529914529916,0.05811965811965812,0.05811965811965812,15.998794351255787,0.0,6.0,16.0,0.0,0.0,1.0,297.86,297.86,0.0,35.220241,-80.850418
69,Brooklyn Village,50,18,0.05555555555555555,0.030599755201958383,0.04557323541411669,0.04557323541411669,70.18591907186199,0.0,0.0,0.0,0.0,0.0,0.0,314.35,314.35,1.0,35.221776,-80.850362
70,Carson,14,13,0.07692307692307693,0.009971509971509971,0.05014245014245015,0.05014245014245015,69.79253205270905,0.0,0.0,0.0,0.0,0.0,0.0,297.86,297.86,0.0,35.220908,-80.849981
71,Brooklyn Village,9,18,0.05555555555555555,0.0055079559363525096,0.03553651570787433,0.03553651570787433,105.28404704066169,0.0,0.0,0.0,0.0,0.0,0.0,298.0,298.0,1.0,35.222021,-80.850123
72,Brooklyn Village,6,18,0.05555555555555555,0.0036719706242350062,0.03480212158302733,0.03480212158302733,19.160395816932176,0.0,1.0,7.0,0.0,0.0,0.0,490.63,490.63,1.0,35.225013,-80.850034
73,Brooklyn Village,3,18,0.05555555555555555,0.0018359853121175031,0.03406772745818033,0.03406772745818033,73.90231420237927,0.0,0.0,0.0,0.0,0.0,0.0,270.46,270.46,0.0,35.221183,-80.849572
74,Brooklyn Village,16,18,0.05555555555555555,0.009791921664626682,0.03725010199918401,0.03725010199918401,62.41884527793532,0.0,0.0,0.0,0.0,0.0,0.0,270.46,270.46,0.0,35.221273,-80.84944
75,Brooklyn Village,3,18,0.05555555555555555,0.0018359853121175031,0.03406772745818033,0.03406772745818033,104.0435895299285,0.0,0.0,0.0,0.0,0.0,0.0,272.98,272.98,1.0,35.222554,-80.849583
76,Brooklyn Village,59,18,0.05555555555555555,0.03610771113831089,0.04777641778865769,0.04777641778865769,12.68326787876701,0.0,6.0,18.0,0.0,0.0,0.0,408.94,408.94,1.0,35.224424,-80.849494
77,Carson,29,13,0.07692307692307693,0.020655270655270654,0.05441595441595442,0.05441595441595442,8.903585348911252,1.0,10.0,18.0,0.0,2.0,4.0,290.62,290.62,1.0,35.216593,-80.849293
78,Brooklyn Village,8,18,0.05555555555555555,0.004895960832313341,0.035291717666258667,0.035291717666258667,39.30945966712116,0.0,0.0,4.0,0.0,0.0,0.0,270.46,270.46,0.0,35.221366,-80.849271
79,Carson,354,13,0.07692307692307693,0.25213675213675213,0.147008547008547,0.147008547008547,32.440400878281096,0.0,0.0,6.0,0.0,0.0,0.0,297.86,297.86,0.0,35.218651,-80.848905
80,Carson,27,13,0.07692307692307693,0.019230769230769232,0.05384615384615385,0.05384615384615385,36.08880547591007,0.0,0.0,3.0,0.0,0.0,0.0,297.86,297.86,0.0,35.218731,-80.848715
81,Brooklyn Village,164,18,0.05555555555555555,0.1003671970624235,0.07348021215830274,0.07348021215830274,30.09779739605199,0.0,0.0,8.0,0.0,1.0,9.0,270.46,270.46,1.0,35.223455,-80.848521
82,Brooklyn Village,4,18,0.05555555555555555,0.0024479804161566705,0.034312525499796,0.034312525499796,5.884887552551482,2.0,9.0,22.0,0.0,1.0,2.0,435.02,435.02,1.0,35.225082,-80.848555
83,Carson,133,13,0.07692307692307693,0.09472934472934473,0.08404558404558404,0.08404558404558404,12.456081488863173,0.0,5.0,15.0,0.0,1.0,3.0,297.86,297.86,1.0,35.217502,-80.848028
84,Brooklyn Village,393,18,0.05555555555555555,0.2405140758873929,0.1295389636882905,0.1295389636882905,21.401512686987118,0.0,4.0,44.0,0.0,4.0,6.0,270.46,270.46,0.0,35.222488,-80.847424
85,Brooklyn Village,200,18,0.05555555555555555,0.12239902080783353,0.08229294165646675,0.08229294165646675,19.274901393628014,0.0,6.0,32.0,0.0,2.0,8.0,270.46,270.46,0.0,35.224178,-80.847459
86,3rd St/Convention,728,15,0.06666666666666667,0.21816002397362902,0.1272640095894516,0.1272640095894516,8.528919549127005,1.0,7.0,19.0,0.0,1.0,1.0,469.97,469.97,1.0,35.225846,-80.847447
87,3rd St/Convention,17,15,0.06666666666666667,0.005094396164219359,0.04203775846568775,0.04203775846568775,5.9101037809767645,1.0,7.0,16.0,0.0,2.0,10.0,575.59,575.59,1.0,35.227417,-80.847359
88,3rd St/Convention,455,15,0.06666666666666667,0.13635001498351812,0.09454000599340726,0.09454000599340726,19.263901765086892,0.0,3.0,10.0,0.0,1.0,3.0,457.15,457.15,1.0,35.226138,-80.847028
89,Carson,45,13,0.07692307692307693,0.03205128205128205,0.05897435897435897,0.05897435897435897,7.198484395268141,2.0,4.0,7.0,0.0,0.0,0.0,493.12,493.12,1.0,35.216039,-80.846672
90,Brooklyn Village,228,18,0.05555555555555555,0.13953488372093023,0.08914728682170542,0.08914728682170542,94.12152179459129,0.0,0.0,0.0,0.0,0.0,0.0,225.46,225.46,1.0,35.219373,-80.84663
