LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_INCIDENT_BEGAN,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,nearest_station,stations_in_radius,stations_in_radius_dist_m
300 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2022/07/10 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,469.97
100 E KINGSTON AV,28203,35.213515,-80.857685,Central,3,2024/12/21 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,220.85
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2018/04/05 00:00:00+00,Indoors,Public/Non-Residential,Hospital/Medical Facility,Burglary/B&E,7,"""Coercive and Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
300 EAST BV,28203,35.21087,-80.85654,Providence,3,2018/03/08 00:00:00+00,Indoors,Retail,Other - Retail,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,East/West,East/West,267.17
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2020/05/31 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Arson,9,"""Fatal Incidents and Investigations""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
1900 SOUTH BV,28203,35.210775,-80.858795,Central,3,2019/12/12 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,133.63
200 N CALDWELL ST,28202,35.224565,-80.837927,Central,476,2024/08/05 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"7th Street,CTC/Arena","294.69,318.81"
200 E 6TH ST,28202,35.227841,-80.839745,Central,476,2023/08/31 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Theft of Motor Vehicle Parts from Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
200 N COLLEGE ST,28202,35.227041,-80.840856,Central,476,2025/08/30 00:00:00+00,Parking Deck,Commercial Place,Hotel/Motel,Motor Vehicle Theft,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street,3rd St/Convention","231.51,255.21,430.12"
2100 HAWKINS ST,28203,35.210672,-80.86189,Central,338,2019/12/31 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,4,"""Theft-Related Offenses""",East/West,East/West,284.72
500 N CALDWELL ST,28208,35.227445,-80.833772,Central,476,2017/02/26 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,"9th Street,7th Street","273.91,391.0"
300 LINCOLN ST,28203,35.219971,-80.856597,Central,339,2017/04/24 00:00:00+00,Indoors,Commercial Place,Office,False Pretenses/Swindle,2,Fraud and Financial Crimes,Bland,Bland,474.62
