LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_INCIDENT_BEGAN,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,nearest_station,stations_in_radius,stations_in_radius_dist_m
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2021/09/04 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Intimidation,7,"""Coercive and Violent Offenses""",Bland,Bland,98.98
300 E 6TH ST,28202,35.227841,-80.839745,Central,476,2022/04/07 00:00:00+00,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
200 N TRYON ST,28202,35.227994,-80.841946,Central,476,2017/05/09 00:00:00+00,Outdoors,Open Area,Other - Open Area,Robbery,7,"""Coercive and Violent Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2023/01/27 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 ARLINGTON AV,28203,35.217197,-80.852903,Central,3,2023/09/04 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Counterfeiting/Forgery,2,Fraud and Financial Crimes,Bland,Bland,264.16
300 E 5TH ST,28202,35.227041,-80.840856,Central,476,2023/09/08 00:00:00+00,Parking Deck,Commercial Place,Hotel/Motel,Motor Vehicle Theft,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street,3rd St/Convention","231.51,255.21,430.12"
500 E 9TH ST,28226,35.227445,-80.833772,Central,476,2019/11/04 00:00:00+00,Outdoors,Residential,Private Residence,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",9th Street,"9th Street,7th Street","273.91,391.0"
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2017/05/21 00:00:00+00,Outdoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,2024/11/23 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Drug Equipment Violations,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street","237.09,245.11"
300 E MOREHEAD ST,28203,35.218651,-80.848905,Central,476,2023/12/25 00:00:00+00,Outdoors,Open Area,Street/Highway,Aggravated Assault,0,"""Violent and Public Safety Offenses""",Brooklyn Village,"Carson,Brooklyn Village","177.18,352.49"
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2024/08/04 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Burglary/B&E,7,"""Coercive and Violent Offenses""",9th Street,9th Street,409.9
500 N TRYON ST,28208,35.230244,-80.838738,Central,476,2017/03/12 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,345.45
200 E 7TH ST,28202,35.228585,-80.838701,Central,476,2024/05/07 00:00:00+00,Outdoors,Open Area,Bus Stop,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
1500 S CHURCH ST,28203,35.21775,-80.858398,Central,339,2024/06/01 00:00:00+00,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,8,Theft and Vehicle Offenses,Bland,Bland,354.77
100 S POPLAR ST,28202,35.228968,-80.84514,Central,476,2024/07/02 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,CTC/Arena,556.86
400 E TRADE ST,28202,35.224569,-80.839996,Central,476,2025/07/01 00:00:00+00,Outdoors,Open Area,Other - Open Area,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","135.56,298.43,342.74"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2019/03/12 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
2000 SOUTH BV,28203,35.209772,-80.859833,Central,3,2024/11/23 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,247.89
1600 SOUTH BV,28203,35.213671,-80.855609,Central,3,2021/07/14 00:00:00+00,Indoors,Retail,Department Store,All Other Thefts,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","241.3,376.69"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2020/11/05 00:00:00+00,Outdoors,Open Area,Other - Open Area,Intimidation,7,"""Coercive and Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
1600 CAMDEN RD,28205,35.214699,-80.857006,Central,388,2025/04/22 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","201.02,363.88"
200 WEST BV,28203,35.213197,-80.860153,Central,388,2020/10/24 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,165.64
300 E 7TH ST,28202,35.228585,-80.838701,Central,476,2023/10/18 00:00:00+00,Outdoors,Open Area,Public Park/Playground,Missing Person,9,"""Fatal Incidents and Investigations""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
200 N TRYON ST,28202,35.227994,-80.841946,Central,476,2017/05/06 00:00:00+00,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
200 ALPHA MILL LN,28206,35.231461,-80.832261,Central,476,2022/07/21 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,9th Street,316.64
700 E 7TH ST,28202,35.224416,-80.833784,Central,476,2017/01/16 00:00:00+00,Indoors,Residential,Private Residence,Aggravated Assault,0,"""Violent and Public Safety Offenses""",7th Street,7th Street,498.11
100 S POPLAR ST,28202,35.228968,-80.84514,Central,476,2021/09/14 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,CTC/Arena,556.86
1500 SOUTH BV,28203,35.214569,-80.854568,Central,3,2023/04/29 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",Bland,Bland,154.13
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2017/07/23 00:00:00+00,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
700 N CALDWELL ST,28202,35.22815,-80.832776,Central,476,2022/09/29 00:00:00+00,Outdoors,Public/Non-Residential,School - Primary or Secondary,Forcible Rape,3,Sexual Assault Crimes,9th Street,9th Street,265.53
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2022/05/05 00:00:00+00,Parking Deck,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,469.97
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2020/12/03 00:00:00+00,Other,Open Area,Cyberspace,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2022/12/10 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street","335.87,363.89"
500 E 5TH ST,28202,35.224565,-80.837927,Central,476,2023/10/10 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"7th Street,CTC/Arena","294.69,318.81"
600 E 7TH ST,28202,35.22524,-80.83476,Central,476,2017/03/16 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Missing Person,9,"""Fatal Incidents and Investigations""",7th Street,7th Street,372.02
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2025/01/18 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2023/07/31 00:00:00+00,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,98.98
200 S COLLEGE ST,28202,35.225467,-80.843098,Central,476,2022/01/01 00:00:00+00,Other,Commercial Place,Office,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","163.83,205.97"
400 S TRYON ST,28202,35.22492,-80.846381,Central,476,2019/07/10 00:00:00+00,Indoors,Commercial Place,Office,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"3rd St/Convention,Brooklyn Village","335.32,394.77"
700 N CALDWELL ST,28202,35.22815,-80.832776,Central,476,2021/08/09 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,265.53
300 W TREMONT AV,28203,35.210672,-80.86189,Central,338,2021/03/20 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,284.72
400 E MOREHEAD ST,28202,35.218651,-80.848905,Providence,3,2024/07/04 00:00:00+00,Parking Lot,Commercial Place,Fitness Center,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Brooklyn Village,"Carson,Brooklyn Village","177.18,352.49"
600 S COLLEGE ST,28210,35.222488,-80.847424,Central,476,2023/09/11 00:00:00+00,Outdoors,Open Area,Taxicab,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"Brooklyn Village,3rd St/Convention","129.49,416.18"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2025/02/18 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/06/17 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,False Pretenses/Swindle,2,Fraud and Financial Crimes,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 ARLINGTON AV,28203,35.217197,-80.852903,Central,3,2022/04/30 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,264.16
700 E 7TH ST,28202,35.224416,-80.833784,Central,476,2017/12/03 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Aggravated Assault,0,"""Violent and Public Safety Offenses""",7th Street,7th Street,498.11
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2025/02/25 00:00:00+00,Outdoors,Open Area,Bus Stop,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
1500 CAMDEN RD,28203,35.216099,-80.856241,Central,339,2019/09/04 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","92.41,532.73"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2020/01/25 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 W TRADE ST,28202,35.228131,-80.844166,Central,476,2023/07/17 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,CTC/Arena,429.4
1000 S TRYON ST,28202,35.220936,-80.85121,Central,476,2020/06/06 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","229.52,391.84"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2021/04/02 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2020/03/16 00:00:00+00,Parking Lot,Public/Non-Residential,Government Building,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
900 S TRYON ST,28202,35.221776,-80.850362,Central,476,2017/04/16 00:00:00+00,Outdoors,Open Area,Street/Highway,Purse-Snatching,4,"""Theft-Related Offenses""",Brooklyn Village,Brooklyn Village,314.35
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2022/10/01 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,469.97
500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,2020/04/17 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street","237.09,245.11"
600 E 5TH ST,28202,35.223718,-80.836913,Central,476,2017/04/27 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"7th Street,CTC/Arena","402.16,431.51"
400 FIRST WARD CT,28202,35.227882,-80.832505,Central,476,2018/04/28 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,303.64
1700 CAMDEN RD,28203,35.213679,-80.857913,Central,388,2024/05/31 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,Bland,"East/West,Bland","224.24,338.13"
200 LINCOLN ST,28203,35.218982,-80.855318,Central,339,2017/10/01 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,349.58
400 E MOREHEAD ST,28202,35.218651,-80.848905,Providence,3,2023/09/28 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","177.18,352.49"
1700 CAMDEN RD,28203,35.213679,-80.857913,Central,388,2024/02/23 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,Bland,"East/West,Bland","224.24,338.13"
1600 SOUTH BV,28203,35.213671,-80.855609,Central,3,2021/04/15 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Burglary/B&E,7,"""Coercive and Violent Offenses""",Bland,"Bland,East/West","241.3,376.69"
1300 S COLLEGE ST,28203,35.217864,-80.853307,Central,339,2021/05/20 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,288.32
200 EAST BV,28203,35.211751,-80.857709,Central,3,2025/12/04 00:00:00+00,Indoors,Commercial Place,Office,Impersonation,2,Fraud and Financial Crimes,East/West,East/West,134.62
1800 S TRYON ST,28203,35.213987,-80.861858,Central,388,2017/11/30 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,333.75
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/06/28 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug Equipment Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 N BREVARD ST,28202,35.226161,-80.837768,Central,476,2022/03/19 00:00:00+00,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,Aggravated Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,CTC/Arena,9th Street","120.41,353.86,466.35"
100 W MOREHEAD ST,28202,35.221779,-80.85213,Central,476,2017/10/30 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,False Pretenses/Swindle,2,Fraud and Financial Crimes,Carson,Carson,341.54
500 N TRYON ST,28202,35.230244,-80.838738,Central,476,2022/09/24 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,345.45
100 W MOREHEAD ST,28202,35.221779,-80.85213,Central,476,2026/01/11 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",Carson,Carson,341.54
100 W MOREHEAD ST,28202,35.221779,-80.85213,Central,476,2022/08/04 00:00:00+00,Parking Deck,Residential,Garage/Storage - Attached,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",Carson,Carson,341.54
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/09/02 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
2100 SOUTH BV,28203,35.207769,-80.860343,Central,3,2019/08/16 00:00:00+00,Indoors,Open Area,Construction Site,Burglary/B&E,7,"""Coercive and Violent Offenses""",East/West,East/West,474.73
1100 SOUTH BV,28203,35.217768,-80.850391,Central,3,2023/09/17 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,Carson,Carson,130.69
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2025/01/25 00:00:00+00,Other,Open Area,Cyberspace,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/05/10 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2024/03/30 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,4,"""Theft-Related Offenses""",Bland,Bland,98.98
1700 SOUTH BV,28203,35.212734,-80.856643,Central,3,2018/09/26 00:00:00+00,Indoors,Commercial Place,Office,Counterfeiting/Forgery,2,Fraud and Financial Crimes,Bland,"East/West,Bland","246.28,365.07"
500 S TRYON ST,28202,35.224178,-80.847459,Central,476,2024/11/24 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"Brooklyn Village,3rd St/Convention","312.78,405.25"
300 N TRYON ST,28202,35.228772,-80.840838,Central,476,2024/12/21 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"7th Street,CTC/Arena","305.82,421.32"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2018/06/11 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 N COLLEGE ST,28202,35.227841,-80.839745,Central,476,2023/04/04 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
200 E BLAND ST,28203,35.217008,-80.854286,Central,339,2023/10/01 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,158.91
300 S TRYON ST,28202,35.225651,-80.845306,Central,476,2023/01/23 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena","304.97,363.6"
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2018/02/04 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street","335.87,363.89"
500 N TRYON ST,28202,35.230244,-80.838738,Central,476,2018/05/12 00:00:00+00,Outdoors,Open Area,Other - Open Area,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,345.45
500 N TRYON ST,28202,35.230244,-80.838738,Central,476,2020/04/24 00:00:00+00,Parking Lot,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,345.45
400 E TRADE ST,28202,35.224569,-80.839996,Central,476,2024/04/11 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Intimidation,7,"""Coercive and Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","135.56,298.43,342.74"
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2021/06/06 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
100 S BREVARD ST,28202,35.224569,-80.839996,Central,476,2018/01/21 00:00:00+00,Outdoors,Open Area,Street/Highway,Suicide,9,"""Fatal Incidents and Investigations""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","135.56,298.43,342.74"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2025/05/06 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Purse-Snatching,4,"""Theft-Related Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
900 N COLLEGE ST,28202,35.232917,-80.832622,Central,476,2025/09/20 00:00:00+00,Outdoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,417.26
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2023/08/30 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2025/10/15 00:00:00+00,Outdoors,Open Area,Public Park/Playground,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,457.15
1400 S CHURCH ST,28203,35.219246,-80.857294,Central,339,2024/10/05 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,420.85
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2019/07/04 00:00:00+00,Outdoors,Open Area,Other - Open Area,Aggravated Assault,0,"""Violent and Public Safety Offenses""",3rd St/Convention,3rd St/Convention,457.15
1400 SOUTH BV,28203,35.215687,-80.852976,Central,3,2022/09/02 00:00:00+00,Indoors,Retail,Department Store,Shoplifting,4,"""Theft-Related Offenses""",Bland,Bland,210.29
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2017/11/05 00:00:00+00,Outdoors,Open Area,Other - Open Area,Aggravated Assault,0,"""Violent and Public Safety Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2020/06/04 00:00:00+00,Outdoors,Open Area,Other - Open Area,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/07/06 00:00:00+00,Outdoors,Open Area,Other - Open Area,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2020/03/11 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,469.97
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2021/12/26 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Simple Assault,0,"""Violent and Public Safety Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
200 S CHURCH ST,28202,35.22733,-80.845307,Central,476,2019/08/24 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Burglary/B&E,7,"""Coercive and Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","440.26,460.44"
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2024/05/26 00:00:00+00,Parking Deck,Open Area,Other - Open Area,Motor Vehicle Theft,8,Theft and Vehicle Offenses,9th Street,9th Street,409.9
200 N COLLEGE ST,28202,35.227041,-80.840856,Central,476,2023/02/02 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street,3rd St/Convention","231.51,255.21,430.12"
1100 SOUTH BV,28203,35.217768,-80.850391,Central,3,2017/12/28 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Carson,Carson,130.69
300 N DAVIDSON ST,28202,35.224467,-80.835845,Central,476,2022/04/02 00:00:00+00,Parking Lot,Residential,Residential Care Facility,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,7th Street,365.85
400 S CHURCH ST,28202,35.225846,-80.847447,Central,476,2024/06/07 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,469.97
500 N CALDWELL ST,28202,35.227445,-80.833772,Central,476,2020/02/18 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",9th Street,"9th Street,7th Street","273.91,391.0"
900 N COLLEGE ST,28206,35.232917,-80.832622,Central,476,2022/10/30 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,417.26
1300 S TRYON ST,28203,35.218303,-80.853916,Central,339,2020/10/29 00:00:00+00,Other,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,301.04
1400 SOUTH BV,28203,35.215687,-80.852976,,438,2019/11/01 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,210.29
