YEAR,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_REPORTED,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions,DATE_INCIDENT_BEGAN,nearest_station,stations_in_radius,stations_in_radius_dist_m,x,y,x_snap,y_snap,centroid_id,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,nearest_tree_dist_ft
2021,300 BROOKSHIRE FR,28208,35.23,-80.83,Central,476,2021-03-29,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,65.4,41.0,54.5,0.0,0.0,14.2,40.1,9.9,9.9,0.0,Clear,,,,,,,,,,,,,,
2019,200 E TRADE ST,28208,35.23,-80.84,Central,476,2019-06-23,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Purse-Snatching,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,84.4,69.4,75.8,0.0,0.0,69.8,75.4,7.9,8.0,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,200 E TRADE ST,28208,35.23,-80.84,Central,476,2019-06-23,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Purse-Snatching,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,84.4,69.4,75.8,0.0,0.0,69.8,75.4,7.9,8.0,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,200 E TRADE ST,28208,35.23,-80.84,Central,476,2019-06-23,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Purse-Snatching,7,"""Fraud and Theft Crimes""",3,3rd St/Convention,35.22361,-80.84306,84.4,69.4,75.8,0.0,0.0,69.8,75.4,7.9,8.0,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,500 E BROOKLYN VILLAGE AV,28208,35.22,-80.84,Central,3,2025-07-13,Outdoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,95.7,73.6,83.7,0.0,0.0,52.3,64.3,12.7,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,500 E BROOKLYN VILLAGE AV,28208,35.22,-80.84,Central,3,2025-07-13,Outdoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",4,Brooklyn Village,35.22139,-80.84694,95.7,73.6,83.7,0.0,0.0,52.3,64.3,12.7,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,200 S CHURCH ST,28208,35.23,-80.85,Central,476,2025-02-26,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,74.1,40.7,58.1,0.0,0.0,26.2,42.6,12.2,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,200 S CHURCH ST,28208,35.23,-80.85,Central,476,2025-02-26,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,74.1,40.7,58.1,0.0,0.0,26.2,42.6,12.2,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,100 E 5TH ST,28208,35.23,-80.84,Central,476,2025-08-13,Outdoors,Open Area,Other - Open Area,Intimidation,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,89.6,73.7,80.8,0.085,16.67,82.1,79.4,10.9,8.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,100 E 5TH ST,28208,35.23,-80.84,Central,476,2025-08-13,Outdoors,Open Area,Other - Open Area,Intimidation,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,89.6,73.7,80.8,0.085,16.67,82.1,79.4,10.9,8.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,300 E TRADE ST,28208,35.23,-80.84,Central,476,2025-09-22,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Forcible Rape,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,84.6,64.2,74.2,0.0,0.0,18.9,66.0,7.0,9.1,0.0,Clear,,,,,,,,,,,,,,
2025,300 E TRADE ST,28208,35.23,-80.84,Central,476,2025-09-22,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Forcible Rape,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,84.6,64.2,74.2,0.0,0.0,18.9,66.0,7.0,9.1,0.0,Clear,,,,,,,,,,,,,,
2025,300 E TRADE ST,28208,35.23,-80.84,Central,476,2025-09-22,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Forcible Rape,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,84.6,64.2,74.2,0.0,0.0,18.9,66.0,7.0,9.1,0.0,Clear,,,,,,,,,,,,,,
2020,200 S TRYON ST,28208,35.23,-80.84,Central,476,2020-08-01,Outdoors,Open Area,Street/Highway,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,92.8,72.8,82.5,0.0,0.0,44.9,66.8,13.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,200 S TRYON ST,28208,35.23,-80.84,Central,476,2020-08-01,Outdoors,Open Area,Street/Highway,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,92.8,72.8,82.5,0.0,0.0,44.9,66.8,13.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,700 E MARTIN LUTHER KING JR BV,28208,35.22,-80.84,Central,476,2024-12-10,Indoors,Public/Non-Residential,Government Building,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,65.9,52.0,59.0,0.477,75.0,99.0,93.4,11.6,4.2,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2024,700 E MARTIN LUTHER KING JR BV,28208,35.22,-80.84,Central,476,2024-12-10,Indoors,Public/Non-Residential,Government Building,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",4,Brooklyn Village,35.22139,-80.84694,65.9,52.0,59.0,0.477,75.0,99.0,93.4,11.6,4.2,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2024,400 E TRADE ST,28208,35.22,-80.84,Central,476,2024-09-01,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,88.8,72.9,78.3,0.499,25.0,68.1,79.9,8.8,8.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,400 E TRADE ST,28208,35.22,-80.84,Central,476,2024-09-01,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,88.8,72.9,78.3,0.499,25.0,68.1,79.9,8.8,8.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,400 E TRADE ST,28208,35.22,-80.84,Central,476,2024-09-01,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,88.8,72.9,78.3,0.499,25.0,68.1,79.9,8.8,8.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,700 N BREVARD ST,28208,35.23,-80.83,Central,476,2019-09-17,Indoors,Commercial Place,Park and Ride Facility,Damage/Vandalism Of Property,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,92.8,68.6,80.3,0.0,0.0,41.1,61.5,9.9,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,600 N COLLEGE ST,28208,35.23,-80.84,Central,476,2017-11-15,Outdoors,Open Area,Street/Highway,Simple Assault,4,Sexual Violence Offenses,0,9th Street,35.2297,-80.835,54.9,38.2,45.7,0.0,0.0,57.0,70.1,10.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,100 W TRADE ST,28208,35.23,-80.84,Central,476,2018-11-17,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,61.0,31.3,47.1,0.0,0.0,15.8,70.1,7.1,9.4,0.0,Clear,,,,,,,,,,,,,,
2018,100 W TRADE ST,28208,35.23,-80.84,Central,476,2018-11-17,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,61.0,31.3,47.1,0.0,0.0,15.8,70.1,7.1,9.4,0.0,Clear,,,,,,,,,,,,,,
2018,600 N CHURCH ST,28208,35.23,-80.84,Central,476,2018-04-18,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,83.9,53.0,70.0,0.0,0.0,18.8,43.1,24.1,9.9,0.0,Clear,,,,,,,,,,,,,,
2019,1700 SOUTH BV,28208,35.21,-80.86,Central,3,2019-07-13,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,93.2,74.8,80.3,0.006,8.33,52.5,78.1,12.5,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,1700 SOUTH BV,28208,35.21,-80.86,Central,3,2019-07-13,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",7,East/West,35.21194,-80.85917,93.2,74.8,80.3,0.006,8.33,52.5,78.1,12.5,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,2000 SOUTH BV,28208,35.21,-80.86,Central,3,2024-02-23,Indoors,Retail,Department Store,Shoplifting,7,"""Fraud and Theft Crimes""",7,East/West,35.21194,-80.85917,63.9,47.5,55.5,0.187,25.0,70.5,64.3,14.0,8.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,300 E MOREHEAD ST,28208,35.22,-80.85,Central,476,2022-02-10,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",4,Brooklyn Village,35.22139,-80.84694,65.6,35.2,50.9,0.0,0.0,16.2,44.3,15.8,9.9,0.0,Clear,,,,,,,,,,,,,,
2022,300 E MOREHEAD ST,28208,35.22,-80.85,Central,476,2022-02-10,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",5,Carson,35.21889,-80.85083,65.6,35.2,50.9,0.0,0.0,16.2,44.3,15.8,9.9,0.0,Clear,,,,,,,,,,,,,,
2023,1400 S CHURCH ST,28208,35.22,-80.86,Central,339,2023-04-07,Parking Deck,Open Area,Construction Site,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,70.0,44.9,57.4,0.967,62.5,99.1,88.6,19.4,7.1,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2020,500 E TRADE ST,28208,35.22,-80.84,Central,476,2020-05-30,Outdoors,Open Area,Street/Highway,Weapon Law Violations,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,87.9,68.0,77.3,0.043,4.17,58.6,67.9,8.0,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,500 E TRADE ST,28208,35.22,-80.84,Central,476,2020-05-30,Outdoors,Open Area,Street/Highway,Weapon Law Violations,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,87.9,68.0,77.3,0.043,4.17,58.6,67.9,8.0,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,500 E TRADE ST,28208,35.22,-80.84,Central,476,2020-05-30,Outdoors,Open Area,Street/Highway,Weapon Law Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,87.9,68.0,77.3,0.043,4.17,58.6,67.9,8.0,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,300 E 7TH ST,28208,35.23,-80.84,Central,476,2023-08-10,Parking Lot,Open Area,Other - Open Area,Motor Vehicle Theft,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,85.6,70.9,78.2,0.633,12.5,75.2,75.1,10.6,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,300 E 7TH ST,28208,35.23,-80.84,Central,476,2023-08-10,Parking Lot,Open Area,Other - Open Area,Motor Vehicle Theft,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,85.6,70.9,78.2,0.633,12.5,75.2,75.1,10.6,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,300 E 7TH ST,28208,35.23,-80.84,Central,476,2023-08-10,Parking Lot,Open Area,Other - Open Area,Motor Vehicle Theft,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,85.6,70.9,78.2,0.633,12.5,75.2,75.1,10.6,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,1500 SOUTH BV,28208,35.21,-80.85,Central,3,2018-11-27,Indoors,Retail,Drug Store,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,47.8,29.0,37.2,0.0,0.0,21.5,64.1,12.2,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,300 E TRADE ST,28208,35.23,-80.84,Central,476,2025-10-21,Indoors,Commercial Place,Stadium/Arena,Simple Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,78.2,45.4,61.3,0.0,0.0,17.0,56.9,17.5,9.8,0.0,Clear,,,,,,,,,,,,,,
2025,300 E TRADE ST,28208,35.23,-80.84,Central,476,2025-10-21,Indoors,Commercial Place,Stadium/Arena,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,78.2,45.4,61.3,0.0,0.0,17.0,56.9,17.5,9.8,0.0,Clear,,,,,,,,,,,,,,
2025,300 E TRADE ST,28208,35.23,-80.84,Central,476,2025-10-21,Indoors,Commercial Place,Stadium/Arena,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,78.2,45.4,61.3,0.0,0.0,17.0,56.9,17.5,9.8,0.0,Clear,,,,,,,,,,,,,,
2020,600 E TRADE ST,28208,35.22,-80.84,Central,476,2020-04-08,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,84.3,58.9,72.2,0.078,12.5,41.6,58.3,10.6,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,600 E TRADE ST,28208,35.22,-80.84,Central,476,2020-04-08,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,84.3,58.9,72.2,0.078,12.5,41.6,58.3,10.6,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,600 S CALDWELL ST,28208,35.22,-80.85,Central,476,2022-11-21,Outdoors,Retail,Convenience Store,Trespass Of Real Property,3,"""Regulatory and Nonviolent Offenses""",4,Brooklyn Village,35.22139,-80.84694,53.2,25.3,39.6,0.0,0.0,37.3,49.5,5.2,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
