YEAR,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_REPORTED,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions,DATE_INCIDENT_BEGAN,nearest_station,stations_in_radius,stations_in_radius_dist_m,x,y,x_snap,y_snap,centroid_id,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,nearest_tree_dist_ft
2018,300 E TRADE ST,28202,35.23,-80.84,Central,476,2018-09-05,Indoors,Open Area,Bus Stop,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,90.9,72.0,81.8,0.0,0.0,67.9,74.2,8.1,9.0,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,300 E TRADE ST,28202,35.23,-80.84,Central,476,2018-09-05,Indoors,Open Area,Bus Stop,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,90.9,72.0,81.8,0.0,0.0,67.9,74.2,8.1,9.0,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,1300 WINNIFRED ST,28203,35.22,-80.86,Central,339,2023-01-30,Outdoors,Open Area,Street/Highway,Simple Assault,4,Sexual Violence Offenses,6,Bland,35.21583,-80.85528,65.9,44.9,53.6,0.214,29.17,80.0,84.5,7.3,7.0,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,500 S COLLEGE ST,28202,35.22,-80.85,Central,476,2020-01-21,Indoors,Commercial Place,Other - Commercial Place,Theft From Building,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,38.1,24.4,30.3,0.0,0.0,4.0,45.2,14.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2020,500 S COLLEGE ST,28202,35.22,-80.85,Central,476,2020-01-21,Indoors,Commercial Place,Other - Commercial Place,Theft From Building,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,38.1,24.4,30.3,0.0,0.0,4.0,45.2,14.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-05-19,Parking Deck,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,88.2,66.8,77.6,0.0,0.0,37.8,62.9,10.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-05-19,Parking Deck,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,88.2,66.8,77.6,0.0,0.0,37.8,62.9,10.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-05-19,Parking Deck,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,88.2,66.8,77.6,0.0,0.0,37.8,62.9,10.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,300 S TRYON ST,28202,35.23,-80.85,Central,476,2022-08-22,Indoors,Commercial Place,Financial Institution,False Pretenses/Swindle,0,Fraudulent Financial Crimes,2,CTC/Arena,35.225,-80.84139,84.6,72.9,77.8,0.0,0.0,72.7,79.9,8.8,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,300 S TRYON ST,28202,35.23,-80.85,Central,476,2022-08-22,Indoors,Commercial Place,Financial Institution,False Pretenses/Swindle,0,Fraudulent Financial Crimes,3,3rd St/Convention,35.22361,-80.84306,84.6,72.9,77.8,0.0,0.0,72.7,79.9,8.8,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,300 E MOREHEAD ST,28202,35.22,-80.85,Central,476,2021-07-21,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Thefts,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,89.8,67.7,79.0,0.0,0.0,51.8,68.0,7.7,6.5,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,300 E MOREHEAD ST,28202,35.22,-80.85,Central,476,2021-07-21,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Thefts,1,Property Theft and Vandalism,5,Carson,35.21889,-80.85083,89.8,67.7,79.0,0.0,0.0,51.8,68.0,7.7,6.5,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,600 E TRADE ST,28202,35.22,-80.84,Central,476,2020-12-03,Indoors,Open Area,Other - Open Area,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,57.3,26.0,41.2,0.0,0.0,46.8,60.7,8.7,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,600 E TRADE ST,28202,35.22,-80.84,Central,476,2020-12-03,Indoors,Open Area,Other - Open Area,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,57.3,26.0,41.2,0.0,0.0,46.8,60.7,8.7,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,2200 HAWKINS ST,28203,35.21,-80.86,Central,338,2023-12-09,Parking Deck,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,59.0,47.3,54.7,0.036,20.83,91.3,77.7,6.4,8.2,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2022,300 E TRADE ST,28202,35.23,-80.84,Central,476,2022-08-22,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Embezzlement,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,84.6,72.9,77.8,0.0,0.0,72.3,79.9,8.8,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,300 E TRADE ST,28202,35.23,-80.84,Central,476,2022-08-22,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Embezzlement,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,84.6,72.9,77.8,0.0,0.0,72.3,79.9,8.8,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,300 E TRADE ST,28202,35.23,-80.84,Central,476,2022-08-22,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Embezzlement,7,"""Fraud and Theft Crimes""",3,3rd St/Convention,35.22361,-80.84306,84.6,72.9,77.8,0.0,0.0,72.3,79.9,8.8,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,300 S TRYON ST,28282,35.23,-80.85,Central,476,2021-04-11,Indoors,Commercial Place,ATM,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,2,CTC/Arena,35.225,-80.84139,75.6,60.1,66.8,0.0,0.0,55.8,65.8,19.5,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,300 S TRYON ST,28282,35.23,-80.85,Central,476,2021-04-11,Indoors,Commercial Place,ATM,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,3,3rd St/Convention,35.22361,-80.84306,75.6,60.1,66.8,0.0,0.0,55.8,65.8,19.5,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,2000 SOUTH BV,28203,35.21,-80.86,Central,3,2024-11-04,Indoors,Retail,Other - Retail,Shoplifting,7,"""Fraud and Theft Crimes""",7,East/West,35.21194,-80.85917,68.8,56.0,60.8,0.0,0.0,90.5,64.0,9.2,9.5,0.0,Overcast,,,,,,,,,,,,,,
2021,100 E TRADE ST,28202,35.23,-80.84,Central,476,2021-10-26,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,70.8,51.6,61.0,0.0,0.0,15.9,60.4,16.9,9.7,0.0,Clear,,,,,,,,,,,,,,
2021,100 E TRADE ST,28202,35.23,-80.84,Central,476,2021-10-26,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,70.8,51.6,61.0,0.0,0.0,15.9,60.4,16.9,9.7,0.0,Clear,,,,,,,,,,,,,,
2020,100 E TRADE ST,28202,35.23,-80.84,Central,476,2020-05-06,Outdoors,Open Area,Other - Open Area,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,71.2,48.3,60.0,0.1,4.17,56.0,68.2,13.5,8.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,100 E TRADE ST,28202,35.23,-80.84,Central,476,2020-05-06,Outdoors,Open Area,Other - Open Area,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,71.2,48.3,60.0,0.1,4.17,56.0,68.2,13.5,8.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,600 E TRADE ST,28202,35.22,-80.84,Central,476,2025-03-20,Other,Open Area,Cyberspace,Pornography/Obscene Material,2,Sexual Offenses Against Privacy,1,7th Street,35.22722,-80.83806,70.8,47.8,61.1,0.0,0.0,56.4,43.6,23.6,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,600 E TRADE ST,28202,35.22,-80.84,Central,476,2025-03-20,Other,Open Area,Cyberspace,Pornography/Obscene Material,2,Sexual Offenses Against Privacy,2,CTC/Arena,35.225,-80.84139,70.8,47.8,61.1,0.0,0.0,56.4,43.6,23.6,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,100 E 5TH ST,28202,35.23,-80.84,Central,476,2024-04-08,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,74.9,50.5,63.6,0.0,0.0,65.6,50.0,12.7,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,100 E 5TH ST,28202,35.23,-80.84,Central,476,2024-04-08,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,74.9,50.5,63.6,0.0,0.0,65.6,50.0,12.7,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,100 E KINGSTON AV,28203,35.21,-80.86,Central,3,2023-09-24,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,7,"""Fraud and Theft Crimes""",7,East/West,35.21194,-80.85917,80.8,58.6,70.7,0.0,0.0,42.5,70.2,7.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,2200 HAWKINS ST,28203,35.21,-80.86,Central,338,2024-06-26,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,7,"""Fraud and Theft Crimes""",7,East/West,35.21194,-80.85917,98.0,74.5,86.1,0.0,0.0,29.0,59.5,13.0,9.3,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-03-17,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,60.3,25.3,44.9,0.0,0.0,41.8,37.4,12.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-03-17,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,60.3,25.3,44.9,0.0,0.0,41.8,37.4,12.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-03-17,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,60.3,25.3,44.9,0.0,0.0,41.8,37.4,12.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E 6TH ST,28202,35.23,-80.84,Central,476,2017-04-11,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,79.2,53.2,67.0,0.0,0.0,22.2,57.8,12.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E 6TH ST,28202,35.23,-80.84,Central,476,2017-04-11,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,79.2,53.2,67.0,0.0,0.0,22.2,57.8,12.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E 6TH ST,28202,35.23,-80.84,Central,476,2017-04-11,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,79.2,53.2,67.0,0.0,0.0,22.2,57.8,12.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,300 ARLINGTON AV,28203,35.22,-80.85,Central,3,2022-06-18,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,90.8,68.6,79.4,0.0,0.0,22.2,54.7,15.0,9.5,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,300 S CHURCH ST,28202,35.23,-80.85,Central,476,2023-04-16,Outdoors,Open Area,Public Park/Playground,Aggravated Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,76.7,59.5,66.8,0.01,4.17,74.8,75.5,15.2,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,1300 S TRYON ST,28203,35.22,-80.85,Central,339,2025-10-31,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,64.9,44.4,53.1,0.0,0.0,5.7,57.8,10.4,9.9,0.0,Clear,,,,,,,,,,,,,,
2020,900 N COLLEGE ST,28202,35.23,-80.83,Central,476,2020-07-06,Outdoors,Open Area,Other - Open Area,All Other Thefts,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,87.7,69.1,77.8,0.024,4.17,49.5,71.3,12.8,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,1700 SOUTH BV,28203,35.21,-80.86,Central,3,2019-09-10,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Burglary/B&E,7,"""Fraud and Theft Crimes""",6,Bland,35.21583,-80.85528,93.0,74.7,83.6,0.0,0.0,40.3,66.1,9.3,8.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,1700 SOUTH BV,28203,35.21,-80.86,Central,3,2019-09-10,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Burglary/B&E,7,"""Fraud and Theft Crimes""",7,East/West,35.21194,-80.85917,93.0,74.7,83.6,0.0,0.0,40.3,66.1,9.3,8.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,600 E TRADE ST,28202,35.22,-80.84,Central,476,2025-01-15,Other,Open Area,Cyberspace,Pornography/Obscene Material,2,Sexual Offenses Against Privacy,1,7th Street,35.22722,-80.83806,44.7,29.5,36.8,0.0,0.0,20.9,41.9,9.5,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,600 E TRADE ST,28202,35.22,-80.84,Central,476,2025-01-15,Other,Open Area,Cyberspace,Pornography/Obscene Material,2,Sexual Offenses Against Privacy,2,CTC/Arena,35.225,-80.84139,44.7,29.5,36.8,0.0,0.0,20.9,41.9,9.5,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,500 S CALDWELL ST,28202,35.22,-80.84,Central,476,2017-02-06,Outdoors,Open Area,Construction Site,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,67.0,33.1,51.9,0.0,0.0,40.1,58.6,13.1,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,500 S CALDWELL ST,28202,35.22,-80.84,Central,476,2017-02-06,Outdoors,Open Area,Construction Site,All Other Thefts,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,67.0,33.1,51.9,0.0,0.0,40.1,58.6,13.1,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 W TRADE ST,28202,35.23,-80.85,Central,476,2019-03-16,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,Murder,6,"""Violent and Harmful Offenses""",2,CTC/Arena,35.225,-80.84139,57.0,44.2,51.5,0.0,0.0,60.7,42.6,14.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 N BREVARD ST,28202,35.23,-80.84,Central,476,2019-11-10,Outdoors,Open Area,Street/Highway,Overdose,6,"""Violent and Harmful Offenses""",0,9th Street,35.2297,-80.835,63.2,30.9,46.8,0.0,0.0,14.4,66.1,10.1,9.4,0.0,Clear,,,,,,,,,,,,,,
2019,300 N BREVARD ST,28202,35.23,-80.84,Central,476,2019-11-10,Outdoors,Open Area,Street/Highway,Overdose,6,"""Violent and Harmful Offenses""",1,7th Street,35.22722,-80.83806,63.2,30.9,46.8,0.0,0.0,14.4,66.1,10.1,9.4,0.0,Clear,,,,,,,,,,,,,,
2019,300 N BREVARD ST,28202,35.23,-80.84,Central,476,2019-11-10,Outdoors,Open Area,Street/Highway,Overdose,6,"""Violent and Harmful Offenses""",2,CTC/Arena,35.225,-80.84139,63.2,30.9,46.8,0.0,0.0,14.4,66.1,10.1,9.4,0.0,Clear,,,,,,,,,,,,,,
2023,1400 SOUTH BV,28203,35.22,-80.85,Central,3,2023-04-23,Indoors,Retail,Other - Retail,Shoplifting,7,"""Fraud and Theft Crimes""",6,Bland,35.21583,-80.85528,72.4,45.5,59.4,0.0,0.0,40.1,52.6,10.0,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,600 N CHURCH ST,28202,35.23,-80.84,Central,476,2018-01-22,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,64.0,40.6,53.3,0.0,0.0,60.4,69.2,15.7,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,600 PENN ST,28203,35.22,-80.86,Central,339,2021-10-03,Other,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,84.5,63.9,72.6,0.001,4.17,58.0,75.8,10.2,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,100 S TRYON ST,28201,35.23,-80.84,Central,476,2019-04-08,Indoors,Commercial Place,Financial Institution,Forcible Sodomy,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,79.6,62.7,68.5,1.019,37.5,72.3,83.4,13.3,6.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,100 S TRYON ST,28201,35.23,-80.84,Central,476,2019-04-08,Indoors,Commercial Place,Financial Institution,Forcible Sodomy,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,79.6,62.7,68.5,1.019,37.5,72.3,83.4,13.3,6.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,200 E 3RD ST,28202,35.22,-80.84,Central,476,2017-11-08,Indoors,Commercial Place,Hotel/Motel,Damage/Vandalism Of Property,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,59.2,47.0,48.4,0.067,25.0,94.2,93.2,13.6,7.9,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2017,200 E 3RD ST,28202,35.22,-80.84,Central,476,2017-11-08,Indoors,Commercial Place,Hotel/Motel,Damage/Vandalism Of Property,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,59.2,47.0,48.4,0.067,25.0,94.2,93.2,13.6,7.9,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2017,200 E 3RD ST,28202,35.22,-80.84,Central,476,2017-11-08,Indoors,Commercial Place,Hotel/Motel,Damage/Vandalism Of Property,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,59.2,47.0,48.4,0.067,25.0,94.2,93.2,13.6,7.9,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2025,300 S CHURCH ST,28202,35.23,-80.85,Central,476,2025-10-03,Outdoors,Open Area,Public Park/Playground,Drug Equipment Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,74.8,52.0,63.6,0.0,0.0,15.9,63.2,12.2,9.8,0.0,Clear,,,,,,,,,,,,,,
2025,1200 S TRYON ST,28203,35.22,-80.85,Central,339,2025-04-17,Parking Deck,Open Area,Other - Open Area,Damage/Vandalism Of Property,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,73.9,44.5,60.7,0.0,0.0,42.1,40.9,8.8,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,200 S CHURCH ST,28202,35.23,-80.85,Huntersville,437,2025-03-18,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,72.9,36.7,55.2,0.0,0.0,7.3,39.2,9.0,9.8,0.0,Clear,,,,,,,,,,,,,,
2025,200 S CHURCH ST,28202,35.23,-80.85,Huntersville,437,2025-03-18,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,72.9,36.7,55.2,0.0,0.0,7.3,39.2,9.0,9.8,0.0,Clear,,,,,,,,,,,,,,
2020,600 N CHURCH ST,28201,35.23,-80.84,Central,476,2020-11-14,Indoors,Residential,Other - Residential,Aggravated Assault,4,Sexual Violence Offenses,0,9th Street,35.2297,-80.835,65.9,48.7,58.5,0.0,0.0,59.2,55.8,9.2,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,700 E 9TH ST,28202,35.23,-80.83,Central,476,2025-06-27,Other,Public/Non-Residential,School - Primary or Secondary,All Other Thefts,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,93.0,73.1,81.6,0.002,8.33,31.3,68.7,13.6,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,100 N TRYON ST,28246,35.23,-80.84,Central,476,2021-05-09,Outdoors,Open Area,Street/Highway,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,81.5,55.8,68.5,0.01,8.33,76.2,47.4,16.9,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,100 N TRYON ST,28246,35.23,-80.84,Central,476,2021-05-09,Outdoors,Open Area,Street/Highway,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,81.5,55.8,68.5,0.01,8.33,76.2,47.4,16.9,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,200 W MARTIN LUTHER KING JR BV,28202,35.23,-80.85,Central,476,2025-03-13,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,75.7,50.0,63.6,0.0,0.0,61.7,41.4,8.7,9.5,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,600 S CALDWELL ST,28202,35.22,-80.85,Central,476,2023-12-10,Indoors,Retail,Department Store,Shoplifting,7,"""Fraud and Theft Crimes""",4,Brooklyn Village,35.22139,-80.84694,62.8,44.8,59.3,1.805,66.67,98.9,91.6,19.2,6.0,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2022,200 E 3RD ST,28202,35.22,-80.84,Central,476,2022-06-05,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,82.9,60.4,73.7,0.0,0.0,46.4,48.0,15.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,200 E 3RD ST,28202,35.22,-80.84,Central,476,2022-06-05,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,82.9,60.4,73.7,0.0,0.0,46.4,48.0,15.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,200 E 3RD ST,28202,35.22,-80.84,Central,476,2022-06-05,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,82.9,60.4,73.7,0.0,0.0,46.4,48.0,15.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,600 N TRYON ST,28202,35.23,-80.84,Central,476,2022-06-27,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,88.4,71.6,79.1,0.36,8.33,79.8,69.7,17.3,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,600 N CHURCH ST,28202,35.23,-80.84,Central,476,2025-10-27,Parking Deck,Residential,Garage/Storage - Attached,Motor Vehicle Theft,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,52.8,49.9,51.1,0.949,75.0,58.6,86.6,16.0,6.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,200 E BLAND ST,28203,35.22,-80.85,Central,3,2020-03-15,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,61.1,53.1,57.1,0.014,8.33,78.3,58.0,11.3,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,500 E 9TH ST,28202,35.23,-80.83,Central,476,2022-04-13,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,81.5,59.8,69.2,0.0,0.0,75.6,65.4,17.1,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,500 E 9TH ST,28202,35.23,-80.83,Central,476,2022-04-13,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,81.5,59.8,69.2,0.0,0.0,75.6,65.4,17.1,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,300 E TRADE ST,28202,35.23,-80.84,Central,476,2023-12-12,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug Equipment Violations,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,51.8,28.5,38.7,0.003,12.5,15.8,65.1,5.9,9.9,0.0,"Snow, Rain",,,,,,,,,,,,,,
2023,300 E TRADE ST,28202,35.23,-80.84,Central,476,2023-12-12,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug Equipment Violations,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,51.8,28.5,38.7,0.003,12.5,15.8,65.1,5.9,9.9,0.0,"Snow, Rain",,,,,,,,,,,,,,
2023,300 E TRADE ST,28202,35.23,-80.84,Central,476,2023-12-12,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug Equipment Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,51.8,28.5,38.7,0.003,12.5,15.8,65.1,5.9,9.9,0.0,"Snow, Rain",,,,,,,,,,,,,,
2021,300 W BLAND ST,28203,35.22,-80.86,Central,339,2021-04-26,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,76.6,44.7,61.7,0.0,0.0,16.3,52.1,6.9,9.9,0.0,Clear,,,,,,,,,,,,,,
