OBJECTID,GEOID,Minor_pct,Poverty_pct,Senior_pct,BIPOC_pct,ZeroCar_pct,Disability_pct,LEP_pct,Score_State,Score_Division,Score_MPO,Score_County,Key_CountyFIPS,Key_DivNbr,Key_MPO,GlobalID,Shape__Area,Shape__Length
4084,371790205022,0.145034642,0.141339492,0.191685912,0.323787529,0.022964509,0.113738739,0.031660984,9,10.5,10.5,9.5,179,10,Charlotte Regional Transportation Planning Organization,3c656c01-6802-4508-9e8f-ce366e68ed36,0.00160442224091639,0.199280370949467
4085,371790210151,0.162894249,0.162894249,0.155844156,0.367717996,0.010135135,0.115266393,0.04969419,11,11.5,11,11.5,179,10,Rocky River RPO,d71d6265-7e8d-4307-b414-3a06b56addfd,0.00484019816735781,0.361535889425725
4086,371790210141,0.290918691,0.19904963,0.120908131,0.144667371,0.0330033,0.167938931,0.006501182,12,12.5,12.5,12.5,179,10,Charlotte Regional Transportation Planning Organization,d4dbce08-6799-46ed-b10a-f10cb5092b1b,0.00102396901070279,0.173278787275085
4087,370690607021,0.159235669,0.619426752,0.224522293,0.380573248,0,0.238396624,0,12,12,12,12,69,5,Kerr-Tar RPO,e22582d6-7720-4d9c-9f4e-ae0cd512ee5a,0.000414414534134266,0.129122479368404
4088,371190058582,0.331932773,0.214285714,0.068487395,0.490756303,0,0.078014184,0.094936709,13,13,13,12.5,119,10,Charlotte Regional Transportation Planning Organization,c0c17b0b-1741-4883-b509-c3a308e5ca11,0.000416889324924341,0.088047519813571
4089,371190038111,0.111689541,0.238996687,0.0989115,0.87647894,0.013392857,0.082578583,0.09398855,13,13,13,11.5,119,10,Charlotte Regional Transportation Planning Organization,9a9f377b-db9f-4a86-bf19-a3129fe24219,0.000214640036801939,0.0685009220261975
4090,371790210071,0.255480984,0.025503356,0.087695749,0.18344519,0,0.076030928,0.01427256,10,10,10,9,179,10,Charlotte Regional Transportation Planning Organization,ccd91883-d8bb-410f-bc9a-3d94b9c2e843,0.000723777275879911,0.122752806245738
4091,371650101021,0.253586066,0.360655738,0.198258197,0.557377049,0.113253012,0.14379562,0.023081362,14.5,13.5,11.5,11,165,8,Lumber River RPO,e0559e2a-b3a9-47aa-9fc0-c3586ac6d525,0.00162820893137905,0.177935837534852
4092,370850710041,0.17472119,0.175783324,0.084970791,0.304832714,0.055555556,0.084769125,0,10.5,9,10,11,85,6,Capital Area MPO,321daff9-8aca-4a72-bf4c-c91de9c042a4,0.00227370893776424,0.248701705883055
4093,370850710031,0.192046557,0.14742968,0.179437439,0.088263822,0,0.226890756,0,8.5,8.5,9.5,8.5,85,6,Capital Area MPO,10596d01-42bc-4081-aba5-8a21f474d0d3,0.0021537414525028,0.185176448781163
4094,370850710032,0.159399225,0.25,0.129844961,0.121124031,0.016304348,0.109502832,0,10,7,10.5,8,85,6,Capital Area MPO,fe409468-05f5-4da6-b4dc-c099a5e02191,0.00195985354594086,0.268524785934895
4095,370850704024,0.215230037,0.329984135,0.324167107,0.285034373,0.016830295,0.292110874,0.102259887,12.5,11,12.5,15.5,85,6,Mid-Carolina RPO,e110a601-42df-4873-b0b6-a8cf69db9c65,0.00236781123521723,0.212095199976203
4096,370850711012,0.189203926,0.254634678,0.225736096,0.133587786,0.010430248,0.314917127,0,11.5,10.5,11.5,10.5,85,6,Mid-Carolina RPO,a89f3e75-42c5-4a08-bca2-2893aa87921c,0.00528430939561986,0.342167215264149
4097,370850714024,0.381773399,0.325123153,0.049261084,0.470935961,0.026871401,0.133064516,0.061356297,13,14,14,16,85,6,Fayetteville Area MPO,b3f65247-4360-4900-8380-5a2fdb152aa7,0.000320513407359613,0.0876783554030137
4098,371470006071,0.239100817,0.358310627,0.046321526,0.76226158,0.058076225,0.227954972,0.101600557,15,15,16,15,147,2,Greenville Urban Area MPO,36b629aa-2f09-4bee-b659-60418d0b076d,0.000192895572126872,0.0582979741267688
4099,370670038052,0.112273361,0.179218968,0.131101813,0.323570432,0,0.054618474,0.039800995,9,9,8.5,8.5,67,9,Winston Salem Urban Area MPO,39fb67d8-99bf-423a-ad05-41ff1db25b7e,0.000273571886509671,0.0710475076740458
4100,370510025031,0.127923977,0.404239766,0.14254386,0.669590643,0,0.069494585,0.01465798,11.5,9.5,9.5,9.5,51,6,Fayetteville Area MPO,0a3f29f0-227b-4e99-8f41-a1c7d853dd4c,0.000123281500691519,0.083395872567399
4101,370610908012,0.090992647,0.317095588,0.037683824,0.6875,0.038922156,0.219419924,0.112608277,14,14,13,13.5,61,3,East Carolina RPO,296bc329-cae9-48fe-aaf1-a4e17b72a913,0.00391349096730664,0.352705954279393
4102,370459512003,0.154497354,0.461375661,0.168253968,0.638095238,0.226966292,0.279894875,0.068783069,16.5,17,16,19,45,12,Gaston-Cleveland-Lincoln MPO,5a9fccee-9683-413d-b081-987a403453db,0.000214539956004955,0.0869491833371627
4103,370459512004,0.04570185,0.13601741,0.158868335,0.266594124,0.133995037,0.235367372,0.07641196,11.5,12,12,14,45,12,Gaston-Cleveland-Lincoln MPO,104dbb31-340f-4d6b-a842-9e9e87ba1f55,0.000361200116458349,0.0957716963271754
4104,371639703023,0.213270142,0.117298578,0.129146919,0.191943128,0,0.069692058,0.087312415,10,10,10,10,163,3,Mid-Carolina RPO,f4128ac0-2e43-4536-9380-b5d071292823,0.00483529079656364,0.30322498580984
4105,371639706002,0.246305419,0.342012667,0.219563688,0.434904996,0.094405594,0.176470588,0.051383399,12.5,13.5,13.5,13.5,163,3,Mid-Carolina RPO,7664603a-1a78-4517-9e5c-81a322ab4566,0.00136555367430446,0.178572606350935
4106,371010413021,0.138476756,0.220573689,0.223541048,0.183976261,0,0.150815217,0,8.5,6.5,6.5,7.5,101,4,Upper Coastal Plain RPO,702b5bb9-7ad5-47b2-acd1-0b15a61a2b33,0.00511849715803692,0.41096890777104
4107,371010409032,0.279373368,0,0.121845083,0.175805048,0,0.044678055,0,8.5,7,7.5,7,101,4,Capital Area MPO,46ac3f9b-cd06-40a6-8c19-47eef7bb4ad4,0.000300379214422719,0.0958885606348171
4108,371010401013,0.219402985,0.291044776,0.240298507,0.476119403,0.247104247,0.168260038,0.010835913,13.5,13.5,13.5,14,101,4,Upper Coastal Plain RPO,f77c6484-b917-4dd3-93b2-0a2cb14fe52d,0.00122198254325667,0.153649660087774
4109,370370202032,0.150900901,0.101351351,0.157094595,0.211711712,0.050816697,0.148579752,0.005955926,11,9,9,10.5,37,8,Triangle Area RPO,9c95c1da-11ec-4e48-b2b8-64371b7a5428,0.00621102828677067,0.443697838297858
