OBJECTID,Tree_ID,Common,DBH,Active,Location,lat,lon,Deciduous,index_right,centroid_id,x_snap,y_snap,dist_m
274887,102255,HORNBEAM EUROPEAN,8.0,1,2100 SOUTH BV,35.20797390192529,-80.86032590390865,1,4,1,512750.0,3896350.0,236.97059180060526
275088,107134,SWEETGUM AMERICAN,24.0,1,2004 ATHERTON HEIGHTS LN,35.20864130505776,-80.85836222783246,1,4,1,512750.0,3896350.0,213.65457675392707
275351,96761,ELM CHINESE,15.0,1,1812 SOUTH BV,35.21138111125358,-80.85824330884343,1,4,1,512750.0,3896350.0,209.5395255056445
275369,97936,CRAPEMYRTLE SPP,9.0,1,300 EAST BV,35.21029239604434,-80.85708808220191,1,4,1,512750.0,3896350.0,258.56718429616967
275373,97918,CRAPEMYRTLE SPP,6.0,1,401 E WORTHINGTON AV,35.209288616021425,-80.85613493899423,1,4,1,512750.0,3896350.0,355.4168401390973
275538,107151,CRAPEMYRTLE SPP,3.0,1,2004 ATHERTON HEIGHTS LN,35.20865360879534,-80.8583260725756,1,4,1,512750.0,3896350.0,214.83947926012155
275566,106751,PEAR CALLERY,15.0,1,1933 SOUTH BV,35.20955622554737,-80.85929530376887,1,4,1,512750.0,3896350.0,81.46737783560907
276095,106669,MAPLE RED,7.0,1,231 E TREMONT AV,35.209139220518914,-80.85878076545079,1,4,1,512750.0,3896350.0,147.27561566578171
276459,97482,ELM CHINESE,16.0,1,1831 SOUTH BV,35.210857057800276,-80.85856006138448,1,4,1,512750.0,3896350.0,150.37236232939242
276865,97502,CRAPEMYRTLE SPP,8.0,1,320 E WORTHINGTON AV,35.209316832546854,-80.85693940975274,1,4,1,512750.0,3896350.0,284.1146205200582
276953,106759,PEAR CALLERY,15.0,1,1933 SOUTH BV,35.20964520981428,-80.85941369778118,1,4,1,512750.0,3896350.0,66.88813935434136
277095,107895,CHERRY/PLUM/PEACH SPP,4.0,1,2151 HAWKINS ST,35.20902091183772,-80.86262749957162,1,4,1,512750.0,3896350.0,273.3934191506539
277528,97504,CRAPEMYRTLE SPP,8.0,1,320 E WORTHINGTON AV,35.20927955924985,-80.85688815344041,1,4,1,512750.0,3896350.0,289.8151362634011
277530,97489,CRAPEMYRTLE SPP,8.0,1,216 E WORTHINGTON AV,35.21012066382471,-80.85801639088992,1,4,1,512750.0,3896350.0,173.08933590168937
