INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,nearest_station,station_list
20240815-0657-00,300 E TRADE ST,28208,35.226243,-80.841973,Central,476,Outdoors,Open Area,Bus Stop,Other Unlisted Non-Criminal,2024-08-15,2024,6,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20180503-1323-00,300 S DAVIDSON ST,28208,35.221303,-80.840284,Central,476,Parking Lot,Open Area,Other - Open Area,Missing Person,2018-05-03,2018,13,Weekday,9,Non-Criminal Incident Reports,POINT (-80.840284 35.221303),3rd St/Convention,['3rd St/Convention']
20180714-1306-00,300 E 11TH ST,28208,35.231604,-80.834435,Central,476,Outdoors,Open Area,Open Field,All Other Thefts,2018-07-14,2018,13,Saturday,1,Property Theft and Vandalism,POINT (-80.834435 35.231604),9th Street,['9th Street']
20240302-1148-01,100 W BROOKLYN VILLAGE AV,28208,35.223455,-80.848521,Central,476,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,2024-03-02,2024,11,Saturday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.848521 35.223455),Brooklyn Village,['Brooklyn Village']
20200527-1206-05,900 N COLLEGE ST,28208,35.232917,-80.832622,Central,476,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,2020-05-27,2020,12,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.832622 35.232917),9th Street,['9th Street']
20210323-1603-03,400 E TRADE ST,28208,35.224569,-80.839996,Central,476,Indoors,Commercial Place,Hotel/Motel,Trespass Of Real Property,2021-03-23,2021,16,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.839996 35.224569),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20170506-0437-00,100 W MOREHEAD ST,28208,35.221779,-80.85213,Central,476,Parking Deck,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,2017-05-06,2017,4,Saturday,1,Property Theft and Vandalism,POINT (-80.85213 35.221779),Carson,['Carson']
20250704-0250-00,200 E 5TH ST,28208,35.227041,-80.840856,Central,476,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,2025-07-04,2025,2,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.840856 35.227041),CTC/Arena,"['CTC/Arena', '7th Street', '3rd St/Convention']"
20180819-0141-00,200 E BLAND ST,28208,35.217008,-80.854286,Central,3,Parking Deck,Residential,Apartment/Duplex Private Res,Simple Assault,2018-08-19,2018,1,Sunday,4,Sexual Violent Crimes,POINT (-80.854286 35.217008),Bland,['Bland']
20191214-0332-00,100 E PARK AV,28208,35.214699,-80.857006,Central,3,Other,Open Area,Street/Highway,Forcible Fondling,2019-12-14,2019,3,Saturday,4,Sexual Violent Crimes,POINT (-80.857006 35.214699),Bland,"['Bland', 'East/West']"
20240107-1956-02,300 E TRADE ST,28208,35.226243,-80.841973,Central,476,Outdoors,Commercial Place,Other - Commercial Place,All Other Thefts,2024-01-07,2024,19,Sunday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20241116-0248-00,100 E MOREHEAD ST,28208,35.22042,-80.850626,Central,476,Outdoors,Open Area,Street/Highway,Driving Under The Influence,2024-11-16,2024,2,Saturday,1,Property Theft and Vandalism,POINT (-80.850626 35.22042),Carson,"['Carson', 'Brooklyn Village']"
20200612-1143-00,100 N TRYON ST,28208,35.227199,-80.843083,Central,476,Indoors,Commercial Place,Office,Shoplifting,2020-06-12,2020,11,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.843083 35.227199),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20250214-1821-02,100 N TRYON ST,28208,35.227199,-80.843083,Central,476,Outdoors,Retail,Other - Retail,Trespass Of Real Property,2025-02-14,2025,18,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.843083 35.227199),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20190201-0716-07,300 DOGGETT ST,28208,35.211847,-80.863387,Central,388,Other,Residential,Other - Residential,All Other Thefts,2019-02-01,2019,7,Weekday,1,Property Theft and Vandalism,POINT (-80.863387 35.211847),East/West,['East/West']
20211220-1411-02,1500 SOUTH BV,28208,35.214569,-80.854568,Central,3,Indoors,Retail,Convenience Store,Shoplifting,2021-12-20,2021,14,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.854568 35.214569),Bland,['Bland']
20241224-0041-01,1400 S CHURCH ST,28208,35.219246,-80.857294,Central,339,Outdoors,Open Area,Street/Highway,Disorderly Conduct,2024-12-24,2024,0,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.857294 35.219246),Bland,['Bland']
20170307-1226-01,1900 S TRYON ST,28208,35.21309,-80.864091,Central,388,Outdoors,Commercial Place,Office,Damage/Vandalism Of Property,2017-03-07,2017,12,Weekday,1,Property Theft and Vandalism,POINT (-80.864091 35.21309),East/West,['East/West']
20210416-1437-02,200 E BLAND ST,28208,35.217008,-80.854286,Central,339,Indoors,Commercial Place,Bar/Tavern/Nightclub,Counterfeiting/Forgery,2021-04-16,2021,14,Weekday,8,Fraudulent Identity Crimes,POINT (-80.854286 35.217008),Bland,['Bland']
20250211-2351-01,400 E BROOKLYN VILLAGE AV,28208,35.220786,-80.845514,Central,476,Indoors,Residential,Apartment/Duplex Private Res,Trespass Of Real Property,2025-02-11,2025,23,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.845514 35.220786),Brooklyn Village,"['Brooklyn Village', '3rd St/Convention']"
20210418-1602-00,500 S COLLEGE ST,28208,35.223194,-80.846399,Central,476,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,2021-04-18,2021,16,Sunday,1,Property Theft and Vandalism,POINT (-80.846399 35.223194),Brooklyn Village,"['Brooklyn Village', '3rd St/Convention']"
