OBJECTID,Corridor,Station,ProjectName,ProjectAddress,Status,ProjectType,LandUse,ResidentialUnits,AffordableUnits,HotelRooms,WalkDistance,EstimtatedCost,Completed,Developer,PublicFacing,Notes,ImageURL,OfficeSqFeet,RetailSqFeet,NonResSF,DateCompleted,Parking,SecCorridor,ShapeSTArea,ShapeSTLength
247,BL,SCB,Tryon Fence,3601 S Tryon St,Under Construction,NEWC,TWHM,79,0,0,0.4,15800000,,Boulevard Real Estate,Yes,,,0,0,0,,,,120723.98055221,1667.34238512535
248,BL,SCB,Fountains LoSo,3615 Tryclan Dr.,Under Construction,NEWC,MTF,344,0,0,0.35,77400000,,Proffitt Dixon,Yes,,,0,0,0,,,,147585.244117352,1643.39921111932
249,BL,SCB,Southend Walk,150 ORCHARD CR,Under Construction,NEWC,TWHM,94,0,0,0.6,18800000,,Tripointe Homes,Yes,,,0,0,0,,,,563995.440533779,4077.63347835718
250,BL,BKV,650 S Tryon,650 S Tryon St,Under Construction,NEWC,MIXU,0,0,0,0.2,160000000,,Lincoln Harris,Yes,,,387119,22763,411598,,2651,,18249.8951632443,591.858171274825
251,BL,WDL,Old Pineville Townhomes,4928 Old Pineville Rd.,Complete,NEWC,TWHM,106,0,0,0.18,21200000,2022,,Yes,,,0,0,0,,3,,225517.047994353,1898.66577618695
252,BL,WDL,Verbena Apartments,213 Verbena St.,Under Construction,NEWC,MTF,273,0,0,0.6,61425000,,,Yes,,,0,0,0,,350,,252954.346375554,2208.73047673706
253,SL,11_,,1016 N. Davidson St.,Complete,,,0,,,,,,,,,,,,,,,,64156.2325191655,1054.20829928977
254,BL,EAWT,110 East,110 East Blvd,Under Construction,NEWC,MIXU,0,0,0,0.01,165000000,,Stiles/Shorenstein,Yes,,,353948,5785,370292,,917,,74247.7688309066,1247.72647460234
255,BL,EAWT,Tremont Square,400 W Tremont Ave,Complete,NEWC,TWHM,74,0,0,0.5,15700000,2020,,Yes,,,0,0,0,,158,,197500.109450967,1976.34848368254
256,BL,EAWT,Common Market Site,235 W Tremont Ave,Complete,ADR,RET,0,0,0,0.3,,2020,CAROLINA CAPITAL INVESTMENT PARTNERS,Yes,,,2385,18970,21355,,22,,28668.6208112236,683.727200507042
257,BL,EAWT,The Square at South End,200 WEST BV,Complete,NEWC,MIXU,120,0,0,0.17,75000000,2022,Beacon Partners,Yes,,,150000,25000,175000,,439,,83401.4455824123,1245.68776476467
258,BL,EAWT,Velvet Taco,210 Rampart St,Complete,ADR,RET,0,0,0,0.39,435380,2022,,Yes,,,0,3958,3958,,,,13152.3649400665,469.575280505899
259,BL,EAWT,East Blvd Townhomes,315 East Blvd,Complete,NEWC,TWHM,4,0,0,0.3,1500000,2022,,Yes,,,0,0,0,,4,,6052.30161886387,321.382083597183
260,BL,EAWT,Food Hall,2217 S Tryon St,Under Construction,ADR,RET,0,0,0,0.5,860000,,,Yes,,,,8603,8603,,,,47621.3129444197,961.443521902992
261,BL,EAWT,Foundry Commercial/Three30Five,2027 S Tryon St,Complete,NEWC,MIXU,0,0,0,0.4,9000000,2019,,Yes,,,29210,31980,61190,,182,,103623.919129837,1616.03546081088
262,BL,EAWT,The Line,2151 Hawkins St,Complete,NEWC,MIXU,0,0,0,0.22,140000000,,Portman Holdings,Yes,,,275000,20000,295000,,740,,77546.9994224687,1236.79431007107
