OBJECTID,Tree_ID,Common,DBH,Active,Location,geometry,index_right,name,lat,lon,Deciduous
1764106,110531664,OAK: WILLOW,15.0,1,,POINT (514336.8513473509 3898204.108383743),1,7th Street,35.22722,-80.83806,1
1764106,110531664,OAK: WILLOW,15.0,1,,POINT (514336.8513473509 3898204.108383743),2,CTC/Arena,35.225,-80.84139,1
1764106,110531664,OAK: WILLOW,15.0,1,,POINT (514336.8513473509 3898204.108383743),3,3rd St/Convention,35.22361,-80.84306,1
1764107,110531665,OAK: WILLOW,15.0,1,,POINT (514348.8341573137 3898189.7901994353),1,7th Street,35.22722,-80.83806,1
1764107,110531665,OAK: WILLOW,15.0,1,,POINT (514348.8341573137 3898189.7901994353),2,CTC/Arena,35.225,-80.84139,1
1764107,110531665,OAK: WILLOW,15.0,1,,POINT (514348.8341573137 3898189.7901994353),3,3rd St/Convention,35.22361,-80.84306,1
1764108,110531666,OAK: WILLOW,18.0,1,,POINT (514376.70183255005 3898162.984234677),1,7th Street,35.22722,-80.83806,1
1764108,110531666,OAK: WILLOW,18.0,1,,POINT (514376.70183255005 3898162.984234677),2,CTC/Arena,35.225,-80.84139,1
1764108,110531666,OAK: WILLOW,18.0,1,,POINT (514376.70183255005 3898162.984234677),3,3rd St/Convention,35.22361,-80.84306,1
1764109,110531667,OAK: WILLOW,9.0,1,,POINT (514092.71416803927 3898070.4549550563),2,CTC/Arena,35.225,-80.84139,1
1764109,110531667,OAK: WILLOW,9.0,1,,POINT (514092.71416803927 3898070.4549550563),3,3rd St/Convention,35.22361,-80.84306,1
1764110,110531668,OAK: WILLOW,16.0,1,,POINT (514153.6625661111 3898155.5168621084),2,CTC/Arena,35.225,-80.84139,1
1764110,110531668,OAK: WILLOW,16.0,1,,POINT (514153.6625661111 3898155.5168621084),3,3rd St/Convention,35.22361,-80.84306,1
1764111,110531669,OAK: WILLOW,17.0,1,,POINT (514181.7539651394 3898180.073259746),2,CTC/Arena,35.225,-80.84139,1
1764111,110531669,OAK: WILLOW,17.0,1,,POINT (514181.7539651394 3898180.073259746),3,3rd St/Convention,35.22361,-80.84306,1
1764112,110531670,OAK: WILLOW,14.0,1,,POINT (514188.96765778714 3898185.7716343272),2,CTC/Arena,35.225,-80.84139,1
1764112,110531670,OAK: WILLOW,14.0,1,,POINT (514188.96765778714 3898185.7716343272),3,3rd St/Convention,35.22361,-80.84306,1
1764113,110531671,OAK: WILLOW,17.0,1,,POINT (514196.70973743324 3898193.4093258576),2,CTC/Arena,35.225,-80.84139,1
1764113,110531671,OAK: WILLOW,17.0,1,,POINT (514196.70973743324 3898193.4093258576),3,3rd St/Convention,35.22361,-80.84306,1
1764114,110531672,OAK: WILLOW,17.0,1,,POINT (514204.81304623577 3898198.7962473077),2,CTC/Arena,35.225,-80.84139,1
1764114,110531672,OAK: WILLOW,17.0,1,,POINT (514204.81304623577 3898198.7962473077),3,3rd St/Convention,35.22361,-80.84306,1
1764115,110531673,OAK: WILLOW,99.0,1,114 S TRYON ST,POINT (514213.1749858008 3898205.148515459),2,CTC/Arena,35.225,-80.84139,1
1764115,110531673,OAK: WILLOW,99.0,1,114 S TRYON ST,POINT (514213.1749858008 3898205.148515459),3,3rd St/Convention,35.22361,-80.84306,1
1764116,110531674,OAK: WILLOW,99.0,1,114 S TRYON ST,POINT (514217.60810416244 3898210.601777573),2,CTC/Arena,35.225,-80.84139,1
1764116,110531674,OAK: WILLOW,99.0,1,114 S TRYON ST,POINT (514217.60810416244 3898210.601777573),3,3rd St/Convention,35.22361,-80.84306,1
1764117,110531675,OAK: WILLOW,99.0,1,114 S TRYON ST,POINT (514223.8039032324 3898215.4545983016),2,CTC/Arena,35.225,-80.84139,1
1764117,110531675,OAK: WILLOW,99.0,1,114 S TRYON ST,POINT (514223.8039032324 3898215.4545983016),3,3rd St/Convention,35.22361,-80.84306,1
1764118,110531676,OAK: WILLOW,19.0,1,114 S TRYON ST,POINT (514229.0640789774 3898220.9469231833),2,CTC/Arena,35.225,-80.84139,1
