INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions
20200609-1744-01,300 E MOREHEAD ST,28208,35.22,-80.85,Central,476,Outdoors,Open Area,Other - Open Area,Indecent Exposure,2020-06-09,2020,17,Weekday,2,Sexual Offenses Against Privacy,POINT (-80.848905 35.218651),5,Carson,35.21889,-80.85083,89.0,74.7,81.1,0.09,4.17,63.5,73.3,12.5,9.1,0.0,"Rain, Partially cloudy"
20210512-0048-00,300 S CHURCH ST,28208,35.23,-80.85,Central,476,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,2021-05-12,2021,0,Weekday,1,Property Theft and Vandalism,POINT (-80.847028 35.226138),3,3rd St/Convention,35.22361,-80.84306,65.8,47.7,54.4,0.273,37.5,97.3,78.5,16.8,8.6,0.0,"Rain, Overcast"
20210427-0939-04,200 E MOREHEAD ST,28208,35.22,-80.85,Central,476,Outdoors,Open Area,Street/Highway,All Other Offenses,2021-04-27,2021,9,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.850418 35.220241),4,Brooklyn Village,35.22139,-80.84694,81.7,52.5,67.0,0.0,0.0,40.0,59.5,15.1,9.9,0.0,Partially cloudy
20210427-0939-04,200 E MOREHEAD ST,28208,35.22,-80.85,Central,476,Outdoors,Open Area,Street/Highway,All Other Offenses,2021-04-27,2021,9,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.850418 35.220241),5,Carson,35.21889,-80.85083,81.7,52.5,67.0,0.0,0.0,40.0,59.5,15.1,9.9,0.0,Partially cloudy
20170607-1532-02,500 E MOREHEAD ST,28208,35.22,-80.85,Central,3,Indoors,Commercial Place,Other - Commercial Place,Sudden/Natural Death Investigation,2017-06-07,2017,15,Weekday,9,Non-Criminal Incident Reports,POINT (-80.848028 35.217502),5,Carson,35.21889,-80.85083,76.9,64.0,71.1,0.001,4.17,70.1,52.8,13.8,9.9,0.0,"Rain, Partially cloudy"
20260210-1247-03,100 N TRYON ST,28208,35.23,-80.84,Central,476,Outdoors,Open Area,Street/Highway,Aggravated Assault,2026-02-10,2026,12,Weekday,4,Sexual Violent Crimes,POINT (-80.843083 35.227199),2,CTC/Arena,35.225,-80.84139,71.6,31.9,52.3,0.002,4.17,23.9,56.3,13.5,9.9,0.0,"Rain, Partially cloudy"
20260210-1247-03,100 N TRYON ST,28208,35.23,-80.84,Central,476,Outdoors,Open Area,Street/Highway,Aggravated Assault,2026-02-10,2026,12,Weekday,4,Sexual Violent Crimes,POINT (-80.843083 35.227199),3,3rd St/Convention,35.22361,-80.84306,71.6,31.9,52.3,0.002,4.17,23.9,56.3,13.5,9.9,0.0,"Rain, Partially cloudy"
20170526-1803-02,200 N CALDWELL ST,28208,35.22,-80.84,Central,476,Outdoors,Open Area,Street/Highway,All Other Offenses,2017-05-26,2017,18,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.837927 35.224565),1,7th Street,35.22722,-80.83806,80.8,56.9,69.3,0.0,0.0,15.7,58.8,9.4,9.9,0.0,Clear
20170526-1803-02,200 N CALDWELL ST,28208,35.22,-80.84,Central,476,Outdoors,Open Area,Street/Highway,All Other Offenses,2017-05-26,2017,18,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.837927 35.224565),2,CTC/Arena,35.225,-80.84139,80.8,56.9,69.3,0.0,0.0,15.7,58.8,9.4,9.9,0.0,Clear
20231214-1839-01,100 W CATHERINE ST,28208,35.22,-80.85,Central,339,Indoors,Residential,Apartment/Duplex Private Res,Drug/Narcotic Violations,2023-12-14,2023,18,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.853841 35.218378),6,Bland,35.21583,-80.85528,54.9,34.7,44.4,0.0,0.0,24.5,41.1,9.7,9.8,0.0,Partially cloudy
20220526-1442-02,700 E 9TH ST,28208,35.23,-80.83,Central,476,Indoors,Public/Non-Residential,School - Primary or Secondary,Other Unlisted Non-Criminal,2022-05-26,2022,14,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.831872 35.225767),0,9th Street,35.2297,-80.835,81.6,63.8,70.7,0.098,16.67,94.2,80.2,16.2,8.9,0.0,"Rain, Overcast"
20230526-1832-02,400 E BROOKLYN VILLAGE AV,28208,35.22,-80.85,Central,476,Parking Deck,Retail,Convenience Store,Other Unlisted Non-Criminal,2023-05-26,2023,18,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.845514 35.220786),3,3rd St/Convention,35.22361,-80.84306,71.8,56.8,64.6,0.0,0.0,81.9,52.2,17.6,9.9,0.0,Partially cloudy
20230526-1832-02,400 E BROOKLYN VILLAGE AV,28208,35.22,-80.85,Central,476,Parking Deck,Retail,Convenience Store,Other Unlisted Non-Criminal,2023-05-26,2023,18,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.845514 35.220786),4,Brooklyn Village,35.22139,-80.84694,71.8,56.8,64.6,0.0,0.0,81.9,52.2,17.6,9.9,0.0,Partially cloudy
20181117-1825-07,300 E TRADE ST,28208,35.23,-80.84,,460,Outdoors,Open Area,Other - Open Area,Damage/Vandalism Of Property,2018-11-17,2018,18,Saturday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),1,7th Street,35.22722,-80.83806,61.0,31.3,47.1,0.0,0.0,15.8,70.1,7.1,9.4,0.0,Clear
20181117-1825-07,300 E TRADE ST,28208,35.23,-80.84,,460,Outdoors,Open Area,Other - Open Area,Damage/Vandalism Of Property,2018-11-17,2018,18,Saturday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),2,CTC/Arena,35.225,-80.84139,61.0,31.3,47.1,0.0,0.0,15.8,70.1,7.1,9.4,0.0,Clear
20181117-1825-07,300 E TRADE ST,28208,35.23,-80.84,,460,Outdoors,Open Area,Other - Open Area,Damage/Vandalism Of Property,2018-11-17,2018,18,Saturday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),3,3rd St/Convention,35.22361,-80.84306,61.0,31.3,47.1,0.0,0.0,15.8,70.1,7.1,9.4,0.0,Clear
20221219-0943-01,200 S TRYON ST,28208,35.23,-80.84,Central,476,Outdoors,Open Area,Street/Highway,Public Accident,2022-12-19,2022,9,Weekday,9,Non-Criminal Incident Reports,POINT (-80.844208 35.226412),2,CTC/Arena,35.225,-80.84139,47.9,24.8,36.3,0.0,0.0,46.7,60.6,4.4,9.9,0.0,Partially cloudy
20221219-0943-01,200 S TRYON ST,28208,35.23,-80.84,Central,476,Outdoors,Open Area,Street/Highway,Public Accident,2022-12-19,2022,9,Weekday,9,Non-Criminal Incident Reports,POINT (-80.844208 35.226412),3,3rd St/Convention,35.22361,-80.84306,47.9,24.8,36.3,0.0,0.0,46.7,60.6,4.4,9.9,0.0,Partially cloudy
20180318-0222-00,100 W MOREHEAD ST,28208,35.22,-80.85,Central,476,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,2018-03-18,2018,2,Sunday,4,Sexual Violent Crimes,POINT (-80.85213 35.221779),5,Carson,35.21889,-80.85083,66.8,52.3,60.1,0.0,0.0,52.6,60.9,13.4,9.9,0.0,Partially cloudy
20251002-1920-02,200 S COLLEGE ST,28208,35.23,-80.84,Central,476,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Damage/Vandalism Of Property,2025-10-02,2025,19,Weekday,1,Property Theft and Vandalism,POINT (-80.843098 35.225467),2,CTC/Arena,35.225,-80.84139,73.9,56.2,65.4,0.0,0.0,11.0,61.5,15.9,9.9,0.0,Clear
20251002-1920-02,200 S COLLEGE ST,28208,35.23,-80.84,Central,476,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Damage/Vandalism Of Property,2025-10-02,2025,19,Weekday,1,Property Theft and Vandalism,POINT (-80.843098 35.225467),3,3rd St/Convention,35.22361,-80.84306,73.9,56.2,65.4,0.0,0.0,11.0,61.5,15.9,9.9,0.0,Clear
20250506-1136-00,200 N CHURCH ST,28208,35.23,-80.84,Central,476,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,2025-05-06,2025,11,Weekday,1,Property Theft and Vandalism,POINT (-80.843025 35.228926),2,CTC/Arena,35.225,-80.84139,76.9,51.4,65.0,0.0,0.0,31.0,56.3,10.8,9.9,0.0,Partially cloudy
20251111-1920-01,500 N COLLEGE ST,28208,35.23,-80.84,Central,476,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,2025-11-11,2025,19,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.837656 35.229332),0,9th Street,35.2297,-80.835,47.0,28.8,37.7,0.0,0.0,7.4,41.5,15.9,9.9,0.0,Clear
20251111-1920-01,500 N COLLEGE ST,28208,35.23,-80.84,Central,476,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,2025-11-11,2025,19,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.837656 35.229332),1,7th Street,35.22722,-80.83806,47.0,28.8,37.7,0.0,0.0,7.4,41.5,15.9,9.9,0.0,Clear
20190914-0158-04,300 E 4TH ST,28208,35.23,-80.84,Central,476,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,2019-09-14,2019,1,Saturday,1,Property Theft and Vandalism,POINT (-80.843098 35.225467),2,CTC/Arena,35.225,-80.84139,83.3,73.2,77.2,0.0,0.0,81.6,74.8,9.7,9.4,0.0,Partially cloudy
20190914-0158-04,300 E 4TH ST,28208,35.23,-80.84,Central,476,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,2019-09-14,2019,1,Saturday,1,Property Theft and Vandalism,POINT (-80.843098 35.225467),3,3rd St/Convention,35.22361,-80.84306,83.3,73.2,77.2,0.0,0.0,81.6,74.8,9.7,9.4,0.0,Partially cloudy
20240824-1939-00,200 W MARTIN LUTHER KING JR BV,28208,35.23,-80.85,Central,476,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Intimidation,2024-08-24,2024,19,Saturday,7,"""Financial and Personal Crimes""",POINT (-80.847447 35.225846),3,3rd St/Convention,35.22361,-80.84306,84.5,58.7,73.0,0.0,0.0,14.3,60.7,11.2,9.7,0.0,Clear
20240519-0311-00,500 N TRYON ST,28208,35.23,-80.84,Central,476,Other,Open Area,Street/Highway,Drug Equipment Violations,2024-05-19,2024,3,Sunday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.838738 35.230244),0,9th Street,35.2297,-80.835,74.9,62.1,67.9,0.0,0.0,80.6,73.5,14.1,9.6,0.0,Partially cloudy
20250722-0209-00,2100 HAWKINS ST,28208,35.21,-80.86,Central,338,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Burglary/B&E,2025-07-22,2025,2,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.86189 35.210672),7,East/West,35.21194,-80.85917,88.9,75.7,82.4,0.064,12.5,76.0,70.7,12.2,9.7,0.0,"Rain, Partially cloudy"
20190121-0025-01,600 E TRADE ST,28208,35.22,-80.84,Central,476,Indoors,Public/Non-Residential,Government Building,Damage/Vandalism Of Property,2019-01-21,2019,0,Weekday,1,Property Theft and Vandalism,POINT (-80.83802 35.222915),1,7th Street,35.22722,-80.83806,37.2,20.4,28.7,0.0,0.0,21.9,36.9,9.5,9.9,0.0,Partially cloudy
20190121-0025-01,600 E TRADE ST,28208,35.22,-80.84,Central,476,Indoors,Public/Non-Residential,Government Building,Damage/Vandalism Of Property,2019-01-21,2019,0,Weekday,1,Property Theft and Vandalism,POINT (-80.83802 35.222915),2,CTC/Arena,35.225,-80.84139,37.2,20.4,28.7,0.0,0.0,21.9,36.9,9.5,9.9,0.0,Partially cloudy
20251031-0006-00,300 E 9TH ST,28208,35.23,-80.84,Central,476,Parking Lot,Open Area,Other - Open Area,Drug/Narcotic Violations,2025-10-31,2025,0,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.835683 35.229334),0,9th Street,35.2297,-80.835,64.9,44.2,53.1,0.0,0.0,5.4,57.9,10.2,9.9,0.0,Clear
20251031-0006-00,300 E 9TH ST,28208,35.23,-80.84,Central,476,Parking Lot,Open Area,Other - Open Area,Drug/Narcotic Violations,2025-10-31,2025,0,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.835683 35.229334),1,7th Street,35.22722,-80.83806,64.9,44.2,53.1,0.0,0.0,5.4,57.9,10.2,9.9,0.0,Clear
20230213-2347-01,100 W SUMMIT AV,28208,35.22,-80.86,Central,339,Outdoors,Open Area,Street/Highway,Murder,2023-02-13,2023,23,Weekday,6,"""Violent and Harmful Offenses""",POINT (-80.857907 35.217345),6,Bland,35.21583,-80.85528,66.0,34.7,50.3,0.0,0.0,21.0,53.3,12.0,9.9,0.0,Partially cloudy
20230610-0133-01,400 N COLLEGE ST,28208,35.23,-80.84,Central,476,Outdoors,Open Area,Other - Open Area,Theft From Motor Vehicle,2023-06-10,2023,1,Saturday,1,Property Theft and Vandalism,POINT (-80.838701 35.228585),0,9th Street,35.2297,-80.835,83.6,55.5,70.8,0.0,0.0,34.1,55.2,8.7,8.4,0.0,Partially cloudy
20230610-0133-01,400 N COLLEGE ST,28208,35.23,-80.84,Central,476,Outdoors,Open Area,Other - Open Area,Theft From Motor Vehicle,2023-06-10,2023,1,Saturday,1,Property Theft and Vandalism,POINT (-80.838701 35.228585),1,7th Street,35.22722,-80.83806,83.6,55.5,70.8,0.0,0.0,34.1,55.2,8.7,8.4,0.0,Partially cloudy
20230610-0133-01,400 N COLLEGE ST,28208,35.23,-80.84,Central,476,Outdoors,Open Area,Other - Open Area,Theft From Motor Vehicle,2023-06-10,2023,1,Saturday,1,Property Theft and Vandalism,POINT (-80.838701 35.228585),2,CTC/Arena,35.225,-80.84139,83.6,55.5,70.8,0.0,0.0,34.1,55.2,8.7,8.4,0.0,Partially cloudy
20190909-1232-02,200 E TRADE ST,28208,35.23,-80.84,Central,476,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,2019-09-09,2019,12,Weekday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),1,7th Street,35.22722,-80.83806,94.8,68.2,81.5,0.0,0.0,19.6,62.0,8.5,9.3,0.0,Clear
20190909-1232-02,200 E TRADE ST,28208,35.23,-80.84,Central,476,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,2019-09-09,2019,12,Weekday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),2,CTC/Arena,35.225,-80.84139,94.8,68.2,81.5,0.0,0.0,19.6,62.0,8.5,9.3,0.0,Clear
20190909-1232-02,200 E TRADE ST,28208,35.23,-80.84,Central,476,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,2019-09-09,2019,12,Weekday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),3,3rd St/Convention,35.22361,-80.84306,94.8,68.2,81.5,0.0,0.0,19.6,62.0,8.5,9.3,0.0,Clear
20181116-2227-00,700 N CALDWELL ST,28208,35.23,-80.83,Central,476,Outdoors,Open Area,Street/Highway,All Other Offenses,2018-11-16,2018,22,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.832776 35.22815),0,9th Street,35.2297,-80.835,57.7,32.2,44.2,0.0,0.0,37.8,71.4,7.6,9.9,0.0,Partially cloudy
20180130-2253-01,200 W TREMONT AV,28208,35.21,-80.86,Central,338,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,2018-01-30,2018,22,Weekday,1,Property Theft and Vandalism,POINT (-80.86189 35.210672),7,East/West,35.21194,-80.85917,44.8,28.7,37.7,0.011,4.17,40.3,48.5,17.4,9.9,0.0,"Rain, Partially cloudy"
20231205-0021-02,400 WEST BV,28208,35.21,-80.86,Central,388,Parking Lot,Open Area,Other - Open Area,Simple Assault,2023-12-05,2023,0,Weekday,4,Sexual Violent Crimes,POINT (-80.863564 35.214791),7,East/West,35.21194,-80.85917,57.9,35.9,47.8,0.0,0.0,22.7,62.7,7.6,9.9,0.0,Partially cloudy
20251107-1856-02,600 N CHURCH ST,28208,35.23,-80.84,Central,476,Outdoors,Residential,Apartment/Duplex Private Res,All Other Thefts,2025-11-07,2025,18,Weekday,1,Property Theft and Vandalism,POINT (-80.837638 35.232696),0,9th Street,35.2297,-80.835,70.7,41.8,56.7,0.0,0.0,23.6,68.9,9.0,9.4,0.0,Partially cloudy
20250108-1700-01,700 E 7TH ST,28208,35.22,-80.83,Central,476,Other,Residential,Apartment/Duplex Private Res,Credit Card/Teller Fraud,2025-01-08,2025,17,Weekday,0,Fraudulent Financial Crimes,POINT (-80.833784 35.224416),1,7th Street,35.22722,-80.83806,41.9,21.7,30.7,0.0,0.0,15.2,54.1,15.1,9.9,0.0,Clear
20250727-0251-01,300 W BLAND ST,28208,35.22,-80.86,Central,339,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,2025-07-27,2025,2,Sunday,1,Property Theft and Vandalism,POINT (-80.857294 35.219246),6,Bland,35.21583,-80.85528,100.8,78.2,89.9,0.0,0.0,49.9,57.5,9.6,9.8,0.0,Partially cloudy
